6,𒐋
ŠAH,𒋚
dim,𒁴
hat,𒉺
55,𒐐𒐊
šál,𒊩
70,𒐕𒌋
gišimmar,𒊷
ṣar,𒇡
luṭ,𒂁
qé,𒆠
dun,𒂄
zaq,𒍠
lut,𒂁
ét,𒀉
taq,𒋳
na4,𒉌𒌓
kišib,𒈩
%,𒑰
85,𒐕𒌋𒌋𒐊
pe,𒉿
gug,𒍝𒄢
bat,𒁁
agrig,𒅆𒁾
šad,𒆳
šunigin,𒋗𒃸
qit,𒆤
ug7,𒌀
46,𒐏𒐋
32,𒌍𒈫
62,𒐕𒈫
gissu,𒄑𒈪
šár,𒊹
DA,𒁕
zag,𒍠
dug,𒂁
per,𒌓
sis,𒋀
sin,𒌍
nar,𒈜
tuš,𒆪
rig7,𒉺𒄸𒁺
bur,𒁓
reb,𒆗
ik,𒅅
kùš,𒌑
tu15,𒅎
kut,𒋻
u18,𒍇
sila,𒋻
qat,𒋗
tak,𒋳
suk,𒆹
gaba,𒃮
qid,𒆤
haṣ,𒋻
el,𒂖
nad,𒆳
á,𒀉
AN,𒀭
ìb,𒅁
gìr,𒄊
ní,𒉎
us,𒊻
kuš,𒋢
UL,𒌌
IŠ,𒅖
ar,𒅈
ME,𒈨
dirig,𒋛𒀀
gur10,𒆥
enšada,𒉺𒌆
geme2,𒊩𒆳
aʾ,𒀪
ṣab,𒂟
ʾe,𒀪
he,𒄭
ugula,𒉺
geš,𒄑
LU,𒇻
eh,𒄴
ʾu,𒀪
sal,𒊩
SU,𒋢
73,𒐕𒌋𒐈
edin,𒂔
gàr,𒃼
šup,𒊒
gim,𒁶
ze,𒍣
n,n
nagín,nagin
sig,𒋝
nin,𒊩𒌆
sap,𒉺𒅁
gum,𒄣
rag,𒊩
nap,𒀮
nak,𒅘
dugud,𒂂
muq,𒈮
mès,𒈩
šib,𒈨
kas,𒆜
ṣe,𒍢
arhuš,𒃣
kun,𒆲
bak,𒄷
à,𒉿
gír,𒄈
lud,𒂁
pìr,𒌓
pú,𒇥
uh,𒄴
pít,𒂍
se,𒋛
ùr,𒃡
ṭer,𒋛𒀀
sur,𒋩
NU,𒉡
77,𒐕𒌋𒐌
86,𒐕𒌋𒌋𒐋
haš,𒋻
geštin,𒃾
78,𒐕𒌋𒐍
sumun,𒌀
egir,𒂕
kub,𒁺
šah,𒋚
NA,𒈾
IL,𒅋
HI,𒄭
ná,𒈿
šid,𒋃
laq,𒋃
uṣ,𒊻
hap,𒆸
iṣ,𒄑
NI,𒉌
šub,𒊒
qá,𒂵
til,𒌀
ag,𒀝
dur,𒄙
43,𒐏𒐈
tar,𒋻
nir,𒉪
pèš,𒈠
gis,𒄑
gul,𒄢
liq,𒌨
98,𒐕𒌍𒐍
šuk,𒉻
pad,𒉻
dup,𒁾
nagar,𒉄
šè,𒂠
diš,𒁹
90,𒐕𒌍
záh,𒉈
kám,𒄰
pul,𒇧
har2,𒄞
pár,𒁇
GEŠTIN,𒃾
ada,𒀜
kan,𒃶
balag,𒁆
num,𒉏
31,𒌍𒁹
pí,𒁉
61,𒐕𒁹
97,𒐕𒌍𒐌
mìn,𒌋𒌋
alam,𒀩
88,𒐕𒌋𒌋𒐍
71,𒐕𒌋𒁹
65,𒐕𒐊
eṭ,𒀉
sú,𒍪
dè,𒉈
alú,𒌷
rik,𒋆
dé,𒌤
urta,𒅁
nik,𒊩𒌨
du7,𒌌
mim,𒊩
DAM,𒁮
gìl,𒄃
pit,𒂍
munus,𒊩
az,𒊍
ziz,𒁁
šanga,𒋃
ukkin,𒌺
ṭur,𒄙
NÀ,𒈾
šik,𒋝
kit,𒆤
38,𒌍𒐍
ba6,𒌑
dum,𒌈
sìp,𒈨
0,0
šùl,𒁲
urum6,𒋀𒀊
pat,𒉻
kab,𒆏
rid,𒈩
il5,𒂖
sà,𒍝
AM,𒄠
aṭ,𒀜
ṭe,𒁲
aq,𒀝
rap,𒊐
gun,𒄘𒌦
šak,𒊕
niš,𒌋𒌋
IK,𒅅
umuš,𒌆
mid,𒅂
mana,𒌋𒌋
RU,𒊒
kat,𒃰
qar,𒃼
bir5,𒉆
KAL,𒆗
GAN,𒃶
bí,𒉈
mìm,𒌋𒌋
lit,𒀖
72,𒐕𒌋𒈫
67,𒐕𒐌
68,𒐕𒐍
ṭú,𒌅
dak,𒁖
tàm,𒌓
kip,𒄒
uzu,𒍜
rad,𒋥
ših,𒋚
57,𒐐𒐌
ṭar,𒋻
48,𒐏𒐍
bít,𒂍
imin,𒅓
kap,𒆏
liš,𒇺
šat,𒆳
rak,𒊩
mál,𒂷
lil,𒇸
PI,𒉿
IB,𒅁
dah,𒈭
