label,0,1,2,3,4,5,6,7,8,9,10,11,12,13
𒌓𒄒𒉣,zimbir,,,,,,,,,,,,,
𒈣,má,,,,,,,,,,,,,
𒀬,sizkur,,,,,,,,,,,,,
𒂠,hun,šè,,,,,,,,,,,,
𒉺𒇻,sipa,,,,,,,,,,,,,
𒌋𒌋𒐋,26,,,,,,,,,,,,,
𒍦,zib,ṣib,ṣip,,,,,,,,,,,
𒌣,simug,,,,,,,,,,,,,
𒈥,mar,,,,,,,,,,,,,
𒌋𒌋𒐌,27,,,,,,,,,,,,,
𒇑,garin,,,,,,,,,,,,,
𒉏,nim,num,,,,,,,,,,,,
𒑏,bán,,,,,,,,,,,,,
𒌋𒌋𒑆,29,,,,,,,,,,,,,
𒅍,íl,,,,,,,,,,,,,
𒁮,dam,DAM,,,,,,,,,,,,
𒈛,sukkal,,,,,,,,,,,,,
𒌋𒌋𒈫,22,,,,,,,,,,,,,
",3",",3",,,,,,,,,,,,,
𒑛,2%3,5%6,,,,,,,,,,,,
𒊐,rab,rap,,,,,,,,,,,,
𒂅,ṭu,,,,,,,,,,,,,
𒄷𒄭,mut,,,,,,,,,,,,,
𒉭,nunuz,,,,,,,,,,,,,
𒈭,tah,dah,,,,,,,,,,,,
𒀝,ak,ag,aq,,,,,,,,,,,
𒂇,mir,,,,,,,,,,,,,
𒇴,lam,,,,,,,,,,,,,
𒐐,50,,,,,,,,,,,,,
𒐕𒌋𒌋𒐈,83,,,,,,,,,,,,,
𒐕𒌍𒐈,93,,,,,,,,,,,,,
𒐕𒌍𒐊,95,,,,,,,,,,,,,
𒐏𒁹,41,,,,,,,,,,,,,
𒐐𒐉,54,,,,,,,,,,,,,
𒐕𒌍𒁹,91,,,,,,,,,,,,,
𒌋𒌋𒐈,23,,,,,,,,,,,,,
𒐐𒁹,51,,,,,,,,,,,,,
𒐕𒐋,66,,,,,,,,,,,,,
𒐐𒐈,53,,,,,,,,,,,,,
𒌋𒐊,15,,,,,,,,,,,,,
𒆸𒆸,nigin,,,,,,,,,,,,,
𒐏𒈫,42,,,,,,,,,,,,,
𒐐𒐋,56,,,,,,,,,,,,,
𒐏𒐊,45,,,,,,,,,,,,,
𒌍𒐊,35,,,,,,,,,,,,,
𒌍𒐋,36,,,,,,,,,,,,,
𒊍,as,aṣ,az,,,,,,,,,,,
𒐕𒌋𒐊,75,,,,,,,,,,,,,
𒐕𒌋𒌋𒐌,87,,,,,,,,,,,,,
𒐕𒌋𒌋𒈫,82,,,,,,,,,,,,,
𒌋𒌋𒐍,28,,,,,,,,,,,,,
𒋥,rat,rad,,,,,,,,,,,,
𒐏𒐉,44,,,,,,,,,,,,,
𒌍𒐌,37,,,,,,,,,,,,,
𒌫,úr,,,,,,,,,,,,,
𒌍𒐈,33,,,,,,,,,,,,,
𒄒,qip,kib,kip,,,,,,,,,,,
𒇇,ua,,,,,,,,,,,,,
𒅆𒂟,sig5,,,,,,,,,,,,,
𒈪𒉭,gig,,,,,,,,,,,,,
𒐕𒌋𒑆,79,,,,,,,,,,,,,
𒈮,muk,muq,,,,,,,,,,,,
𒁓,pur,bur,,,,,,,,,,,,
𒂡,šìr,šèr,,,,,,,,,,,,
𒌍𒐉,34,,,,,,,,,,,,,
𒐕𒐉,64,,,,,,,,,,,,,
𒂼,ama,,,,,,,,,,,,,
𒅘,káb,nak,,,,,,,,,,,,
𒄃,gil,gìl,,,,,,,,,,,,
𒅂,idim,mid,,,,,,,,,,,,
𒀕,unug,,,,,,,,,,,,,
𒂁,duk,luṭ,lut,dug,lud,,,,,,,,,
𒁖,dag,dak,,,,,,,,,,,,
𒅆𒁺,palil,,,,,,,,,,,,,
𒐕𒌋𒌋𒁹,81,,,,,,,,,,,,,
𒈧,máš,,,,,,,,,,,,,
𒊌,uk,uq,,,,,,,,,,,,
𒆠𒇴,ganba,,,,,,,,,,,,,
𒄗,sùh,,,,,,,,,,,,,
𒉼,ban,,,,,,,,,,,,,
𒉐,tùm,,,,,,,,,,,,,
𒐕𒐈,63,,,,,,,,,,,,,
𒐕𒌍𒐉,94,,,,,,,,,,,,,
𒉺𒅁,šap,sap,,,,,,,,,,,,
𒌓𒅗𒁇,zabar,,,,,,,,,,,,,
𒉺𒊺,isin,,,,,,,,,,,,,
𒋀𒆠,nanna,,,,,,,,,,,,,
𒁳,dib,,,,,,,,,,,,,
𒍨,ziq,,,,,,,,,,,,,
𒁈,bara2,,,,,,,,,,,,,
𒐐𒈫,52,,,,,,,,,,,,,
𒃷,gán,,,,,,,,,,,,,
𒋚,ŠAH,šah,ših,,,,,,,,,,,
𒐐𒐊,55,,,,,,,,,,,,,
𒐕𒌋,70,,,,,,,,,,,,,
𒊷,gišimmar,,,,,,,,,,,,,
𒇡,ṣar,,,,,,,,,,,,,
𒍠,zaq,zag,,,,,,,,,,,,
𒋳,taq,tak,,,,,,,,,,,,
𒉌𒌓,na4,,,,,,,,,,,,,
𒑰,%,,,,,,,,,,,,,
𒐕𒌋𒌋𒐊,85,,,,,,,,,,,,,
𒍝𒄢,gug,,,,,,,,,,,,,
𒅆𒁾,agrig,,,,,,,,,,,,,
𒋗𒃸,šunigin,,,,,,,,,,,,,
𒐏𒐋,46,,,,,,,,,,,,,
𒌍𒈫,32,,,,,,,,,,,,,
𒐕𒈫,62,,,,,,,,,,,,,
𒄑𒈪,gissu,,,,,,,,,,,,,
𒊹,šár,,,,,,,,,,,,,
𒉺𒄸𒁺,rig7,,,,,,,,,,,,,
𒍇,u18,,,,,,,,,,,,,
𒆹,suk,,,,,,,,,,,,,
𒄊,gìr,,,,,,,,,,,,,
𒉎,ní,,,,,,,,,,,,,
𒅈,ar,,,,,,,,,,,,,
𒉺𒌆,enšada,,,,,,,,,,,,,
𒊩𒆳,geme2,,,,,,,,,,,,,
𒐕𒌋𒐈,73,,,,,,,,,,,,,
𒂔,edin,,,,,,,,,,,,,
𒃼,gàr,qar,,,,,,,,,,,,
𒊩𒌆,nin,,,,,,,,,,,,,
𒀮,nap,,,,,,,,,,,,,
𒂂,dugud,,,,,,,,,,,,,
𒃣,arhuš,,,,,,,,,,,,,
𒆲,kun,,,,,,,,,,,,,
𒄈,gír,,,,,,,,,,,,,
𒇥,pú,,,,,,,,,,,,,
𒃡,ùr,,,,,,,,,,,,,
𒐕𒌋𒐌,77,,,,,,,,,,,,,
𒐕𒌋𒌋𒐋,86,,,,,,,,,,,,,
𒃾,geštin,GEŠTIN,,,,,,,,,,,,
𒐕𒌋𒐍,78,,,,,,,,,,,,,
𒂕,egir,,,,,,,,,,,,,
𒈿,ná,,,,,,,,,,,,,
𒄙,dur,ṭur,,,,,,,,,,,,
𒐏𒐈,43,,,,,,,,,,,,,
𒉪,nir,,,,,,,,,,,,,
𒄢,gul,,,,,,,,,,,,,
𒐕𒌍𒐍,98,,,,,,,,,,,,,
𒉄,nagar,,,,,,,,,,,,,
𒐕𒌍,90,,,,,,,,,,,,,
𒁆,balag,,,,,,,,,,,,,
𒌍𒁹,31,,,,,,,,,,,,,
𒐕𒁹,61,,,,,,,,,,,,,
𒐕𒌍𒐌,97,,,,,,,,,,,,,
𒀩,alam,,,,,,,,,,,,,
𒐕𒌋𒌋𒐍,88,,,,,,,,,,,,,
𒐕𒌋𒁹,71,,,,,,,,,,,,,
𒐕𒐊,65,,,,,,,,,,,,,
𒌤,dé,,,,,,,,,,,,,
𒊩𒌨,nik,,,,,,,,,,,,,
𒌺,ukkin,,,,,,,,,,,,,
𒌍𒐍,38,,,,,,,,,,,,,
𒋀𒀊,urum6,,,,,,,,,,,,,
𒆏,kab,kap,,,,,,,,,,,,
𒄘𒌦,gun,,,,,,,,,,,,,
𒐕𒌋𒈫,72,,,,,,,,,,,,,
𒐕𒐌,67,,,,,,,,,,,,,
𒐕𒐍,68,,,,,,,,,,,,,
𒍜,uzu,,,,,,,,,,,,,
𒐐𒐌,57,,,,,,,,,,,,,
𒐏𒐍,48,,,,,,,,,,,,,
𒅓,imin,,,,,,,,,,,,,
𒇺,liš,,,,,,,,,,,,,
𒇸,lil,,,,,,,,,,,,,
